Semester;Hour;level;Conf;Sup
1;0;1.0;0.8317373461012312;0.013873676524278934
1;1;1.0;0.8426812585499316;0.014056224899598393
1;2;1.0;0.8194254445964432;0.013668309602044541
1;3;1.0;0.8317373461012312;0.013873676524278934
1;4;1.0;0.8399452804377565;0.014010587805768528
1;5;1.0;0.8303693570451436;0.013850857977364002
1;6;1.0;0.8467852257181943;0.014124680540343191
1;7;1.0;0.9808481532147743;0.01636089813800657
1;8;1.0;0.987688098495212;0.016474990872581235
1;9;1.0;0.8248974008207934;0.013759583789704271
1;10;1.0;0.8549931600547196;0.014261591821832786
1;11;1.0;0.8372093023255814;0.013964950711938665
1;12;1.0;1.0;0.016680357794815626
1;13;1.0;1.0;0.016680357794815626
1;14;1.0;0.9384404924760602;0.015653523183643665
1;15;1.0;0.9288645690834473;0.015493793355239139
1;16;1.0;0.9439124487004104;0.015744797371303396
1;17;1.0;0.9370725034199726;0.015630704636728734
1;18;2.0;0.4240766073871409;0.007073749543629062
1;19;4.0;0.35704514363885087;0.005955640744797371
1;20;4.0;0.40902872777017785;0.006822745527564805
1;21;4.0;0.38850889192886456;0.006480467323840818
1;22;4.0;0.3967168262653899;0.006617378605330413
1;23;2.0;0.518467852257182;0.0086482292807594
2;0;1.0;0.9153284671532846;0.01430722891566265
2;1;1.0;0.9240875912408759;0.014444140197152245
2;2;1.0;0.9284671532846716;0.014512595837897043
2;3;1.0;0.92992700729927;0.014535414384811976
2;4;1.0;0.8992700729927007;0.014056224899598393
2;5;1.0;0.910948905109489;0.014238773274917854
2;6;1.0;0.9240875912408759;0.014444140197152245
2;7;1.0;1.0;0.015630704636728734
2;8;1.0;0.997080291970803;0.015585067542898868
2;9;1.0;0.9211678832116789;0.01439850310332238
2;10;1.0;0.9240875912408759;0.014444140197152245
2;11;1.0;0.9021897810218978;0.014101861993428258
2;12;1.0;1.0;0.015630704636728734
2;13;1.0;1.0;0.015630704636728734
2;14;1.0;0.9941605839416059;0.015539430449069004
2;15;1.0;0.9927007299270073;0.015516611902154072
2;16;1.0;0.9956204379562044;0.015562248995983935
2;17;1.0;0.9912408759124087;0.015493793355239139
2;18;2.0;0.5416058394160584;0.008465680905439942
2;19;3.0;0.35912408759124087;0.005613362541073384
2;20;4.0;0.3445255474452555;0.00538517707192406
2;21;3.0;0.3372262773722628;0.005271084337349397
2;22;3.0;0.3357664233576642;0.0052482657904344655
2;23;2.0;0.5124087591240876;0.008009309967141292
3;0;1.0;0.9625;0.0017570281124497991
3;1;1.0;0.95;0.0017342095655348668
3;2;1.0;0.9875;0.001802665206279664
3;3;1.0;0.9875;0.001802665206279664
3;4;1.0;1.0;0.0018254837531945967
3;5;1.0;1.0;0.0018254837531945967
3;6;1.0;0.9875;0.001802665206279664
3;7;1.0;1.0;0.0018254837531945967
3;8;1.0;1.0;0.0018254837531945967
3;9;1.0;0.975;0.0017798466593647317
3;10;1.0;1.0;0.0018254837531945967
3;11;1.0;0.9875;0.001802665206279664
3;12;1.0;1.0;0.0018254837531945967
3;13;1.0;1.0;0.0018254837531945967
3;14;1.0;1.0;0.0018254837531945967
3;15;1.0;1.0;0.0018254837531945967
3;16;1.0;1.0;0.0018254837531945967
3;17;1.0;1.0;0.0018254837531945967
3;18;2.0;0.6875;0.0012550200803212851
3;19;3.0;0.65;0.0011865644395764878
3;20;3.0;0.55;0.001004016064257028
3;21;3.0;0.6;0.001095290251916758
3;22;3.0;0.65;0.0011865644395764878
3;23;1.0;0.525;0.0009583789704271632
4;0;1.0;1.0;0.007530120481927711
4;1;1.0;1.0;0.007530120481927711
4;2;1.0;1.0;0.007530120481927711
4;3;1.0;1.0;0.007530120481927711
4;4;1.0;1.0;0.007530120481927711
4;5;1.0;1.0;0.007530120481927711
4;6;1.0;1.0;0.007530120481927711
4;7;1.0;1.0;0.007530120481927711
4;8;1.0;1.0;0.007530120481927711
4;9;1.0;1.0;0.007530120481927711
4;10;1.0;1.0;0.007530120481927711
4;11;1.0;1.0;0.007530120481927711
4;12;1.0;1.0;0.007530120481927711
4;13;1.0;1.0;0.007530120481927711
4;14;1.0;1.0;0.007530120481927711
4;15;1.0;1.0;0.007530120481927711
4;16;1.0;1.0;0.007530120481927711
4;17;1.0;1.0;0.007530120481927711
4;18;1.0;1.0;0.007530120481927711
4;19;1.0;1.0;0.007530120481927711
4;20;1.0;1.0;0.007530120481927711
4;21;1.0;1.0;0.007530120481927711
4;22;1.0;1.0;0.007530120481927711
4;23;1.0;1.0;0.007530120481927711
